UNIT number,Lesson,Headword,Part of speech,Frequency,US IPA,Definition,Example,MEDO link 1,MEDO link 2 ,MEDO link 3
1,1,admire,verb,2,ədˈmaɪr,to have a feeling of great respect for someone or something,"While I was admiring the painting at the museum, she stopped to say hello.",https://www.macmillandictionary.com/dictionary/american/admire,,
1,1,emigrate,verb,,ˈemɪˌɡreɪt,to leave your country in order to live in another country,"At this time last year, we were emigrating to New Zealand.",https://www.macmillandictionary.com/dictionary/american/emigrate,,
1,1,focus on ,phrasal verb,,ˈfoʊkəs ɑn,to concentrate on something and pay particular attention to it,Lila decided to leave school to focus on music.,https://www.macmillandictionary.com/dictionary/american/focus_1,,
1,1,improve,verb,3,ɪmˈpruv,to make something better,Victor and his guide dog Charlie are helping improve the lives of blind children and adults by raising money.,https://www.macmillandictionary.com/dictionary/american/improve_1,,
1,1,look up to,phrasal verb,,lʊk ʌp tu,to admire and respect someone,Who is a role model that you look up to?,https://www.macmillandictionary.com/dictionary/american/look-up-to,,
1,1,reveal,verb,3,rɪˈvil,"to let something become known, for example a secret or information that was previously not known",When did Lila reveal that she had adopted her son?,https://www.macmillandictionary.com/dictionary/american/reveal_1,,
1,1,role model,noun phrase,1,roʊl ˈmɑd(ə)l,someone whose behavior is considered to be a good example for other people to copy,Was the astronaut your role model when you were a child?,https://www.macmillandictionary.com/dictionary/american/role-model,,
1,1,popularity,noun,2,ˌpɑpjəˈlerəti,a situation in which someone or something is popular with many people,Claire achieved her popularity because of her tennis skills.,https://www.macmillandictionary.com/dictionary/american/popularity,,
1,1,professional,adjective,3,prəˈfeʃən(ə)l,relating to work that needs special skills and qualifications,She became a professional singer when she was at music school.,https://www.macmillandictionary.com/dictionary/american/professional_1,,
1,1,wealth,noun,2,welθ,a large amount of money and other valuable things,It is not often easy to achieve great wealth.,https://www.macmillandictionary.com/dictionary/american/wealth,,
1,2,angry,adjective,3,ˈæŋɡri,very annoyed,Jamil is angry because I was playing my guitar late last night.,https://www.macmillandictionary.com/dictionary/american/angry,,
1,2,confused,adjective,2,kənˈfjuzd,unable to understand something or think clearly about it,"During the test, she was starting to feel a bit confused.",https://www.macmillandictionary.com/dictionary/american/confused,,
1,2,disappointed,adjective,1,ˌdɪsəˈpɔɪntəd,"unhappy because something that you hoped for or expected did not happen, or because someone or something was not as good as you expected",Were you disappointed that you didn’t get a good grade?,https://www.macmillandictionary.com/dictionary/american/disappointed,,
1,2,glad,adjective,3,ɡlæd,happy and pleased about something,I’m so glad she is here to help us.,https://www.macmillandictionary.com/dictionary/american/glad,,
1,2,pleased,adjective,2,plizd,happy and satisfied,I was very pleased with the grade I received on my test.,https://www.macmillandictionary.com/dictionary/american/pleased,,
1,2,sad,adjective,3,sæd,"feeling unhappy, especially because something bad has happened",Tanya was reading her mother's letter when she started to feel sad.,https://www.macmillandictionary.com/dictionary/american/sad,,
1,2,scared,adjective,2,skerd,frightened or worried,Were you scared when it started raining very hard?,https://www.macmillandictionary.com/dictionary/american/scared,,
1,2,selfless,adjective,,ˈselfləs,caring about other people’s needs and problems more than your own,Fran is such a selfless person. She always thinks about other people first.,https://www.macmillandictionary.com/dictionary/american/selfless,,
1,2,shocked,adjective,1,ʃɑkt,very surprised and upset by something bad that happens unexpectedly,The older woman was shocked by her rude response.,https://www.macmillandictionary.com/dictionary/american/shocked,,
1,2,thrilled,adjective,,θrɪld,very pleased and excited,Dan was thrilled with his birthday present.,https://www.macmillandictionary.com/dictionary/american/thrilled,,
1,2,upset,adjective,2,ˌʌpˈset,"very sad, worried, or angry about something",Why were you so upset?,https://www.macmillandictionary.com/dictionary/american/upset_1,,
1,2,worried,adjective,3,ˈwʌrid,unhappy because you are thinking about your problems or about bad things that could happen,Emily was worried because she did not study for her exam.,https://www.macmillandictionary.com/dictionary/american/worried,,
1,2,happy,adjective,3,ˈhæpi,feeling pleased and satisfied,This book had a very happy ending!,https://www.macmillandictionary.com/dictionary/american/happy,,
1,3,adopt,verb,3,əˈdɑpt,to take someone else’s child into your family and legally make him or her your own child,My parents adopted my brother Jeremy.,https://www.macmillandictionary.com/dictionary/american/adopt,,
1,3,birth mother,noun phrase ,,bɜrθ ˈmʌðər,"the woman who gave birth to someone, rather than the woman who has adopted them",Shannon has never met her birth mother.,https://www.macmillandictionary.com/dictionary/american/birth-mother,,
1,3,business,noun,3,ˈbɪznəs,"an organization that buys or sells products or services for money. This word often refers to a small organization that is owned and run by one person or a few people, while ""company"" can also refer to large organizations",My grandfather used to own a small shoe repair business.,https://www.macmillandictionary.com/dictionary/american/business,,
1,3,get divorced ,verb phrase,,ɡet dɪˈvɔrst,to become no longer married because the marriage has been legally ended,My mother got divorced two years ago and married my stepfather earlier this month. ,https://www.macmillandictionary.com/dictionary/american/get,https://www.macmillandictionary.com/dictionary/american/divorce_2,
1,3,get engaged ,verb phrase,,ɡet ɪnˈɡeɪdʒd,to formally agree to become married,"Stuart and Dany got engaged last week, and the wedding is next March!",https://www.macmillandictionary.com/dictionary/american/get,https://www.macmillandictionary.com/dictionary/american/engaged,
1,3,large family ,noun phrase,,lɑrdʒ ˈfæm(ə)li,"a family, a group of people that live together and are related to one another, that is bigger than usual in its number of members",Pola has a very large family. She has eight siblings!,https://www.macmillandictionary.com/dictionary/american/large_1,https://www.macmillandictionary.com/dictionary/american/family_1,
1,3,only child,noun phrase,,ˈoʊnli tʃaɪld,a child who has no brothers or sisters,My friend Demi is an only child.,https://www.macmillandictionary.com/dictionary/american/only-child,,
1,3,siblings ,noun,1,ˈsɪblɪŋz,your siblings are your brothers and sisters,Does he have any siblings?,https://www.macmillandictionary.com/dictionary/american/sibling,,
1,3,single parent,noun phrase ,1,ˈsɪŋɡ(ə)l ˈperənt,"a parent who raises their children alone, without a partner",My mother was a single parent.,https://www.macmillandictionary.com/dictionary/american/single-parent,,
1,3,stepfather,noun,,ˈstepˌfɑðər,someone’s stepfather is their mother’s new husband in a second or later marriage,Azeem is going to give his stepfather a new tie on his birthday.,https://www.macmillandictionary.com/dictionary/american/stepfather,,
1,3,stepmother,noun,,ˈstepˌmʌðər,someone’s stepmother is their father’s new wife in a second or later marriage,Danielle's stepmother was working in the garden when her mother came to pick her up for the weekend.,https://www.macmillandictionary.com/dictionary/american/stepmother,,
1,3,twins ,noun,2,twɪnz,two children born at the same time to the same mother. Twins of the same sex who look exactly like each other are called identical twins. Twins that are not identical are called fraternal twins,I have a twin brother and one sister.,https://www.macmillandictionary.com/dictionary/american/twin_1,,
1,3,parents ,noun,3,ˈperənts,both your mother and father,Has your girlfriend met your parents yet?,https://www.macmillandictionary.com/dictionary/american/parent,,
1,4,award,noun,3,əˈwɔrd,a prize or other reward that is given to someone who has achieved something,Amanda got an award for helping the local soccer club.,https://www.macmillandictionary.com/dictionary/american/award_1,,
1,4,charity,noun,3,ˈtʃerəti,"an organization to which you give money so that it can give money and help to people who are poor or sick, or who need advice and support",That charity raised over $2 million last year.,https://www.macmillandictionary.com/dictionary/american/charity,,
1,4,charity work ,noun phrase,,ˈtʃerəti wɜrk,"work, or time spent trying to achieve something, for a charity, an organization to which you give money so that it can help people who are poor or sick, or who need advice and support ",I do charity work for the local children's hospital.,https://www.macmillandictionary.com/dictionary/american/charity,https://www.macmillandictionary.com/dictionary/american/work_1,
1,4,donate,verb,1,ˈdoʊˌneɪt,"to give something such as money or goods to an organization, especially to a school, hospital, political party, or charity",Allison is going to donate those old books to the library tomorrow.,https://www.macmillandictionary.com/dictionary/american/donate,,
1,4,fairy tale,noun phrase,1,ˈfeəri teɪl,a traditional children’s story in which magic things happen,Sigmund was listening to the rain outside while his mother was reading him a fairy tale.,https://www.macmillandictionary.com/dictionary/american/fairy-tale,,
1,4,firefighter,noun,,ˈfaɪrˌfaɪtər,someone whose job is to make fires stop burning and help people to escape from other dangerous situations,"Amazingly, firefighters arrived in time to save both girls.",https://www.macmillandictionary.com/dictionary/american/firefighter,,
1,4,raise money ,verb phrase,,reɪz ˈmʌni,"to collect money, or what you use to pay for things, for a particular purpose",The local charity is raising money for poor people.,https://www.macmillandictionary.com/dictionary/american/raise_1,https://www.macmillandictionary.com/dictionary/american/money,
1,4,save a life ,verb phrase,,seɪv ə laɪf,to stop someone from dying,This woman in Sao Paulo is a hero. She saved a child’s life.,https://www.macmillandictionary.com/dictionary/american/save-someone-s-life,,
2,1,arrange,verb,3,əˈreɪndʒ,"to make plans for something to happen, for example by agreeing a time and place",The waiters were arranging the tables when the guests started to arrive.,https://www.macmillandictionary.com/dictionary/american/arrange,,
2,1,bank,noun,3,bæŋk,a financial institution that people or businesses can keep their money in or borrow money from,I am going to the bank after work.,https://www.macmillandictionary.com/dictionary/american/bank_1,,
2,1,boss,noun,3,bɔs,the person who is in charge of you at work,Bradford is going to ask his boss for some time off.,https://www.macmillandictionary.com/dictionary/american/boss_1,,
2,1,calendar,noun,2,ˈkæləndər,"a set of pages showing the days, weeks, and months of a particular year",Take a look at your calendar for the year ahead.,https://www.macmillandictionary.com/dictionary/american/calendar,,
2,1,celebrate,verb,3,ˈseləˌbreɪt,to do something enjoyable in order to show that an occasion or event is special,When do people in Japan celebrate Health and Sports Day?,https://www.macmillandictionary.com/dictionary/american/celebrate,,
2,1,colleagues,noun,3,ˈkɑˌliɡz,people who work in the same organization or department as you,A lot of my colleagues meet at the coffee shop in the morning.,https://www.macmillandictionary.com/dictionary/american/colleague,,
2,1,day off ,noun phrase,,deɪ ɔf,a day that you do not go to work,I am taking a few days off from work to take a trip to the ocean.,https://www.macmillandictionary.com/dictionary/american/day,https://www.macmillandictionary.com/dictionary/american/off_1,
2,1,make,verb,3,meɪk,to arrange or organize something,"I made an appointment with the bank manager on 
Wednesday.",https://www.macmillandictionary.com/us/dictionary/american/make_1#make_1__41,,
2,1,official,adjective,3,əˈfɪʃ(ə)l,used about things that are decided by a government,Banks are usually closed on official national holidays.,https://www.macmillandictionary.com/dictionary/american/official_1,,
2,1,receive,verb,3,rɪˈsiv,to get something that someone gives or sends to you,Did Kole receive any birthday cards yesterday?,https://www.macmillandictionary.com/dictionary/american/receive,,
2,1,spend time,verb,3,spend,to stay somewhere or to do something for a period of time,We always spend Christmas at my grandma's house.,https://www.macmillandictionary.com/us/dictionary/american/spend,,
2,1,vacation,noun,2,veɪˈkeɪʃ(ə)n,"a period of time when you do not work and you do things for pleasure instead. The British word is ""holiday""",My family and I are going to go on vacation to the Azores next year.,https://www.macmillandictionary.com/dictionary/american/vacation_1,,
2,1,worker,noun,3,ˈwɜrkər,someone below the level of a manager who works in a particular company or industry,Often there are not enough workers to work during the holidays.,https://www.macmillandictionary.com/dictionary/american/worker,,
2,2,borrow,verb,2,ˈbɔroʊ,to receive and use something that belongs to someone else and promise to give it back to them later,You should never borrow any money from your friends.,https://www.macmillandictionary.com/dictionary/american/borrow,,
2,2,bucks ,noun,2,bʌks,an informal term for money,I worked at a bookstore to make a few bucks in college.,https://www.macmillandictionary.com/dictionary/american/buck_1,,
2,2,buy,verb,3,baɪ,to get something by paying money for it,I was buying my friend some candy when I remembered she doesn't like chocolate.,https://www.macmillandictionary.com/dictionary/american/buy_1,,
2,2,capital,noun,3,ˈkæpɪt(ə)l,the city where a country or region has its government,There is not enough time to take a tour of the capital.,https://www.macmillandictionary.com/dictionary/american/capital_1,,
2,2,cash,noun,3,kæʃ,money in the form of bills and coins,Tiya doesn't have enough cash to buy him an expensive present.,https://www.macmillandictionary.com/dictionary/american/cash_1,,
2,2,lend,verb,2,lend,"to give someone something for a short time, expecting that they will give it back to you later. If you lend someone something, they borrow it from you","I lent Mia my long, red dress a month ago and she still hasn't returned it to me! ",https://www.macmillandictionary.com/dictionary/american/lend_1,,
2,2,make money,verb,3,meɪk,to earn or get money,Alan works as a consultant and makes a lot of money.,https://www.macmillandictionary.com/us/dictionary/american/make_1#make_1__43,,
2,2,overspend,verb,,ˌoʊvərˈspend,to spend more money than you should or more than you intended to,It’s easy to overspend during the holidays.,https://www.macmillandictionary.com/dictionary/american/overspend_1,,
2,2,pay,verb,3,peɪ,to give money in order to buy something,I was glad I had enough money to pay for a gift for my sister!,https://www.macmillandictionary.com/dictionary/american/pay_1,,
2,2,save,verb,3,seɪv,"to make it possible for someone or something to avoid danger, harm, injury, etc.",He saved that little girl's life. He's a hero!,https://www.macmillandictionary.com/dictionary/american/save_1,,
2,2,seasonal,adjective,1,ˈsiz(ə)nəl,available only during a particular time of year,Seasonal workers often work during the holidays. ,https://www.macmillandictionary.com/dictionary/american/seasonal,,
2,2,sell,verb,3,sel,to exchange something for money,The locals sell handmade crafts in the town square.,https://www.macmillandictionary.com/dictionary/american/sell_1,,
2,2,spend money,verb,3,spend,to use money to pay for things,Carmen was spending too much money on clothes and jewelry.,https://www.macmillandictionary.com/dictionary/american/spend,,
2,2,waste,verb,2,weɪst,"to use more of something than is necessary, or to use it in a way that does not produce the best results",You shouldn't waste money on things you don't need.,https://www.macmillandictionary.com/dictionary/american/waste_2,,
2,3,bag of onions ,noun phrase,,bæɡ əv ˈʌnjənz,"a bag, or a container usually made of paper or plastic that is used to carry things, specifically onions, a vegetable with thin skin that smells very strong",Albert needs to buy a bag of onions at the store to make onion soup.,https://www.macmillandictionary.com/dictionary/american/bag_1,https://www.macmillandictionary.com/dictionary/american/onion,
2,3,bottle of oil ,noun phrase,,ˈbɑt(ə)l əv ɔɪl,"a bottle, or a glass or plastic container for storing liquids, specifically oil, a thick smooth liquid used for cooking",Please buy a bottle of oil so I can make the fried rice.,https://www.macmillandictionary.com/dictionary/american/bottle_1,https://www.macmillandictionary.com/dictionary/american/oil_1,
2,3,box of cereal ,noun phrase,,bɑks əv ˈsɪriəl,"a container with straight sides, a flat base, and a lid specifically used for storing cereal, a food made from grain usually eaten for breakfast",Drew was buying a box of cereal at the store when he remembered he already had eggs for breakfast.,https://www.macmillandictionary.com/dictionary/american/box_1,https://www.macmillandictionary.com/dictionary/american/cereal,
2,3,can of beans,noun phrase,,kæn əv binz,"a closed metal container used for food and drinks, in this case beans, the seeds of some plants that are cooked and eaten",Do we need a can of beans for this recipe?,https://www.macmillandictionary.com/dictionary/american/can_2,https://www.macmillandictionary.com/dictionary/american/bean_1,
2,3,carton of milk ,noun phrase,,ˈkɑrt(ə)n əv mɪlk,"a container for liquids made of stiff, thick paper, specifically for milk",I need to buy a carton of milk for my breakfast cereal.,macmillandictionary.com/dictionary/american/carton,https://www.macmillandictionary.com/dictionary/american/milk_1,
2,3,jar of jelly ,noun phrase,,dʒɑr əv ˈdʒeli,"a glass container with a lid and a wide top, in this case for jelly, a sweet sticky food made from fruit often spread on bread",Leia bought a jar of jelly for her toast in the morning.,https://www.macmillandictionary.com/dictionary/american/jar_1,https://www.macmillandictionary.com/dictionary/american/jelly,
2,3,jug of water ,noun phrase,,dʒʌɡ əv ˈwɔtər,"a large container for liquids, in this case for water",We keep jugs of water in case there is an emergency.,https://www.macmillandictionary.com/dictionary/american/jug,https://www.macmillandictionary.com/dictionary/american/water_1,
2,3,package of pasta ,noun phrase,,ˈpækɪdʒ əv ˈpɑstə,"a box, bag, or plastic wrapping for food, in this case for pasta, an Italian food made from flour and water, such as spaghetti",Please buy two packages of pasta because your brother and sister are coming for dinner.,https://www.macmillandictionary.com/dictionary/american/package_1,https://www.macmillandictionary.com/dictionary/american/pasta,
2,3,pickles ,noun,,ˈpɪk(ə)lz,cucumbers or other vegetables preserved in vinegar or salt water,I can't open this jar of pickles!,https://www.macmillandictionary.com/dictionary/american/pickle_1,,
2,3,shop around ,phrasal verb,,ʃɑp əˈraʊnd,to go to several stores before you decide what particular thing to buy,Not enough people shop around these days.,https://www.macmillandictionary.com/dictionary/american/shop-around,,
2,3,tablespoon,noun,,ˈteɪb(ə)lˌspun,"a unit for measuring an amount of food or liquid that is equal to the amount that a tablespoon holds, exactly 3 teaspoons",I need three tablespoons of butter for this recipe.,https://www.macmillandictionary.com/dictionary/american/tablespoon,,
2,3,teaspoon of salt ,noun phrase,,ˈtiˌspun ʌv sɔlt,"a white substance that is often added to food before or after cooking to improve its flavor, specifically when it is measured in a small spoon used for adding small amounts of a liquid or powder to food",The recipe for this soup needs one teaspoon of salt.,https://www.macmillandictionary.com/dictionary/american/teaspoon,https://www.macmillandictionary.com/dictionary/american/salt_1,
2,3,tube of toothpaste ,noun phrase,,tub əv ˈtuθˌpeɪst,"a tube, or a long narrow container, that contains toothpaste, the soft thick substance you use to brush your teeth",That tube of toothpaste is almost empty.,https://www.macmillandictionary.com/dictionary/american/tube,https://www.macmillandictionary.com/dictionary/american/toothpaste,
2,4,cap and gown ,noun phrase,,kæp ən ɡaʊn,"the uniform, consisting of a soft hat with a flat top and a long robe, worn by many students when they graduate from college or high school",They have to wear a black cap and gown during their graduation.,https://www.macmillandictionary.com/dictionary/american/cap_1,https://www.macmillandictionary.com/dictionary/american/gown,
2,4,ceremony,noun,2,ˈserəˌmoʊni,"a formal public event with special traditions, actions, or words",We are looking for speakers for next year’s graduation ceremony.,https://www.macmillandictionary.com/dictionary/american/ceremony,,
2,4,committee,noun,3,kəˈmɪti,"a group of people who represent a larger group or organization and are chosen to do a particular job, for example to study something and suggest what action to take",The Event Committee has enough volunteers to help decorate.,https://www.macmillandictionary.com/dictionary/american/committee,,
2,4,congratulate,verb,1,kənˈɡrætʃəˌleɪt,"to tell someone that you are pleased about their success, good luck, or happiness on a special occasion","At the end of the ceremony, there is a parade through the streets of the town, and local people come to congratulate the students.",https://www.macmillandictionary.com/dictionary/american/congratulate,,
2,4,event,noun,3,ɪˈvent,"something that happens, especially something that involves several people",People usually celebrate weddings and graduations by going to a formal organized event at a hotel or club.,https://www.macmillandictionary.com/dictionary/american/event,,
2,4,formal clothes ,noun phrase,,ˈfɔrm(ə)l kloʊðz,"clothes, or the things that you wear, that are formal (correct or conservative in style and appropriate for official or serious situations or occasions)","During a Japanese graduation ceremony, students wear either a uniform or formal clothes.",https://www.macmillandictionary.com/dictionary/american/formal_1,https://www.macmillandictionary.com/dictionary/american/clothes,
2,4,graduate,noun,2,ˈɡrædʒuət,"someone who has finished their studies at a high school, college, or university","In Argentina, family and friends throw sticky or messy food at the graduates, like flour, eggs, ketchup, and soda to give them good luck!",https://www.macmillandictionary.com/dictionary/american/graduate_1,,
2,4,graduate,verb,1,ˈɡrædʒuˌeɪt,"to complete your studies at a school such as a high school, college, or university and get a diploma or a degree",Those students are going to graduate next May.,https://www.macmillandictionary.com/dictionary/american/graduate_2,,
2,4,make,verb,3,meɪk,to create or produce something by working,Don't forget to make enough cookies for all the guests!,https://www.macmillandictionary.com/dictionary/american/make_1,,
2,4,opinion,noun,3,əˈpɪnjən,"the attitude that you have toward something, especially your thoughts about how good it is",Sara is never afraid to share her opinions with others.,https://www.macmillandictionary.com/dictionary/american/opinion,,
2,4,parade,noun,1,pəˈreɪd,"a public celebration in which a large group of people move through an area, often with decorated vehicles and bands playing music","During the Crop Over festival, there are street parades and street food festivals all over Barbados.",https://www.macmillandictionary.com/dictionary/american/parade_1,,
2,4,president,noun,3,ˈprezɪdənt,the person who has the highest position in an organization or institution,"During the graduation ceremony, the student president always gives a speech.",https://www.macmillandictionary.com/dictionary/american/president,,
2,4,principal,noun,2,ˈprɪnsəp(ə)l,"the head of a school. The usual British word is ""head teacher""",Our school principal was wearing a gray suit to the graduation ceremony.,https://www.macmillandictionary.com/dictionary/american/principal_2,,
2,4,procession,noun,1,prəˈseʃ(ə)n,a line of people or vehicles moving in a slow and formal way as part of an event,The graduation ceremony starts with a formal procession by the teachers and workers at the university.,https://www.macmillandictionary.com/dictionary/american/procession,,
2,4,selfie,noun,,ˈselfi,"a photo that you take of yourself, usually for use in social media",Bea and Adam were taking a selfie when a whale appeared in the ocean behind them.,https://www.macmillandictionary.com/dictionary/american/selfie,,
2,4,special,adjective,3,ˈspeʃ(ə)l,different from and usually better than what is normal or ordinary,A few students received special awards at the ceremony.,https://www.macmillandictionary.com/dictionary/american/special_1,,
2,4,speech,noun,3,spitʃ,a formal occasion when someone speaks to an audience,A lot of the students enjoyed the graduation speech.,https://www.macmillandictionary.com/dictionary/american/speech,,
2,4,suit,noun,3,sut,"a set of clothes made from the same cloth, usually a jacket with pants or a skirt","You should wear something formal, like a suit, to the party.",https://www.macmillandictionary.com/dictionary/american/suit_1,,
2,4,tradition,noun,3,trəˈdɪʃ(ə)n,"a very old custom, belief, or story",We always enjoy holiday traditions.,https://www.macmillandictionary.com/dictionary/american/tradition,,
2,4,unusual,adjective,3,ʌnˈjuʒuəl,"different from other people or things in a way that is interesting, attractive, or impressive",Rojin likes to celebrate unusual holidays.,https://www.macmillandictionary.com/dictionary/american/unusual,,
3,1,acrobat,noun,,ˈækrəˌbæt,"someone who can balance, jump, and turn their body in skillful ways, especially as a form of entertainment",Josh used to work as an acrobat in the circus.,https://www.macmillandictionary.com/dictionary/american/acrobat,,
3,1,act,noun,3,ækt,"a short performance by a comedian, magician, or other performer",Everybody enjoyed the street performer's act.,https://www.macmillandictionary.com/dictionary/american/act_1,,
3,1,amazing,adjective,2,əˈmeɪzɪŋ,very surprising,Everyone thought the acrobat's performance was amazing.,https://www.macmillandictionary.com/dictionary/american/amazing,,
3,1,audience,noun,3,ˈɔdiəns,"a group of people who have come to a place to see or hear a movie, performance, speech, etc. The people who watch a sports game or other large event are usually called spectators or the crowd",Someone in the audience was coughing during the entire play!,https://www.macmillandictionary.com/dictionary/american/audience,,
3,1,blowing ,verb,3,ˈbloʊɪŋ,"the present participle of ""blow""; if wind or air is blowing, the air is moving",The wind was blowing from the sea.,https://www.macmillandictionary.com/dictionary/american/blow_1,,
3,1,circus,noun,,ˈsɜrkəs,"a group of people, and usually animals, that travels from place to place and entertains people by performing skillful or funny movements and tricks",I used to perform in a circus in Paris.,https://www.macmillandictionary.com/dictionary/american/circus,,
3,1,control,verb,3,kənˈtroʊl,to have the power to make decisions and decide what will happen to something,No one sees the person controlling the puppets in the puppet show.,https://www.macmillandictionary.com/dictionary/american/control_2,,
